tmsp,country,amount,success,PSP,3D_secured,card,success_txnFee,failure_txnFee,noOfAttempts,Month,Day,Hour,Weekday
2019-01-01 00:52:00,1,100,0,3,0,1,3,1.0,3,1,1,0,5
2019-01-01 00:52:04,1,100,0,3,0,1,3,1.0,4,1,1,0,5
2019-01-01 00:52:29,1,100,0,2,0,1,1,0.5,5,1,1,0,5
2019-01-01 00:55:23,1,221,0,1,0,2,5,2.0,1,1,1,0,5
2019-01-01 00:56:41,2,340,0,2,0,0,1,0.5,1,1,1,0,5
2019-01-01 00:56:57,2,340,1,3,0,0,3,1.0,2,1,1,0,5
2019-01-01 01:01:44,1,257,0,3,1,1,3,1.0,1,1,1,1,5
2019-01-01 01:01:46,1,257,0,0,1,1,10,5.0,2,1,1,1,5
2019-01-01 01:02:11,1,257,0,3,1,1,3,1.0,3,1,1,1,5
2019-01-01 01:02:24,1,257,1,3,1,1,3,1.0,4,1,1,1,5
2019-01-01 01:03:31,2,193,0,3,0,2,3,1.0,1,1,1,1,5
2019-01-01 01:04:58,1,36,1,2,1,1,1,0.5,1,1,1,1,5
2019-01-01 01:06:03,2,146,0,2,0,0,1,0.5,1,1,1,1,5
2019-01-01 01:08:40,1,192,0,3,0,1,3,1.0,1,1,1,1,5
2019-01-01 01:08:43,1,192,1,3,0,1,3,1.0,2,1,1,1,5
2019-01-01 01:11:02,1,14,0,1,0,1,5,2.0,1,1,1,1,5
2019-01-01 01:11:31,1,14,0,3,0,1,3,1.0,2,1,1,1,5
2019-01-01 01:12:36,1,175,0,1,0,2,5,2.0,1,1,1,1,5
2019-01-01 01:13:02,1,175,0,2,0,2,1,0.5,2,1,1,1,5
2019-01-01 01:13:05,1,175,1,2,0,2,1,0.5,3,1,1,1,5
2019-01-01 01:14:10,1,270,0,2,0,1,1,0.5,1,1,1,1,5
2019-01-01 01:14:59,1,270,0,3,0,1,3,1.0,2,1,1,1,5
2019-01-01 01:17:19,0,256,0,3,0,1,3,1.0,1,1,1,1,5
2019-01-01 01:17:30,0,256,0,3,0,1,3,1.0,2,1,1,1,5
2019-01-01 01:18:30,0,256,0,3,0,1,3,1.0,3,1,1,1,5
2019-01-01 01:18:37,0,256,1,1,0,1,5,2.0,4,1,1,1,5
2019-01-01 01:19:43,1,310,0,0,0,2,10,5.0,1,1,1,1,5
2019-01-01 01:20:37,1,310,0,2,0,2,1,0.5,2,1,1,1,5
2019-01-01 01:20:51,1,310,0,3,0,2,3,1.0,3,1,1,1,5
2019-01-01 01:21:40,1,310,0,3,0,2,3,1.0,4,1,1,1,5
2019-01-01 01:21:43,1,310,0,2,0,2,1,0.5,5,1,1,1,5
2019-01-01 01:21:47,1,310,0,3,0,2,3,1.0,6,1,1,1,5
2019-01-01 01:22:11,1,310,1,3,0,2,3,1.0,7,1,1,1,5
2019-01-01 01:23:24,0,239,0,2,0,1,1,0.5,1,1,1,1,5
2019-01-01 01:26:31,1,37,0,3,0,1,3,1.0,1,1,1,1,5
2019-01-01 01:26:51,1,37,0,2,0,1,1,0.5,2,1,1,1,5
2019-01-01 01:27:10,1,37,0,1,0,1,5,2.0,3,1,1,1,5
2019-01-01 01:28:02,1,37,0,3,0,1,3,1.0,4,1,1,1,5
2019-01-01 01:28:53,1,37,0,2,0,1,1,0.5,5,1,1,1,5
2019-01-01 01:35:33,1,56,0,2,1,2,1,0.5,1,1,1,1,5
2019-01-01 01:35:55,1,56,0,3,1,2,3,1.0,2,1,1,1,5
2019-01-01 01:35:56,1,56,0,1,1,2,5,2.0,3,1,1,1,5
2019-01-01 01:36:57,1,192,0,0,1,0,10,5.0,1,1,1,1,5
2019-01-01 01:37:01,1,192,0,2,1,0,1,0.5,2,1,1,1,5
2019-01-01 01:38:15,1,324,0,3,0,2,3,1.0,1,1,1,1,5
2019-01-01 01:38:22,1,324,0,3,0,2,3,1.0,2,1,1,1,5
2019-01-01 01:38:37,1,324,0,3,0,2,3,1.0,3,1,1,1,5
2019-01-01 01:38:55,1,324,1,2,0,2,1,0.5,4,1,1,1,5
2019-01-01 01:40:49,1,105,0,3,0,1,3,1.0,1,1,1,1,5
2019-01-01 01:41:08,1,105,0,2,0,1,1,0.5,2,1,1,1,5
2019-01-01 01:42:01,1,105,0,3,0,1,3,1.0,3,1,1,1,5
2019-01-01 01:42:20,1,105,0,1,0,1,5,2.0,4,1,1,1,5
2019-01-01 01:43:15,1,105,0,0,0,1,10,5.0,5,1,1,1,5
2019-01-01 01:44:16,1,228,0,3,0,0,3,1.0,1,1,1,1,5
2019-01-01 01:44:25,1,228,0,3,0,0,3,1.0,2,1,1,1,5
2019-01-01 01:45:17,1,228,1,3,0,0,3,1.0,3,1,1,1,5
2019-01-01 01:46:23,1,322,0,3,0,1,3,1.0,1,1,1,1,5
2019-01-01 01:47:23,1,322,0,1,0,1,5,2.0,2,1,1,1,5
2019-01-01 01:54:24,0,367,0,1,0,2,5,2.0,1,1,1,1,5
2019-01-01 01:55:08,0,367,0,3,0,2,3,1.0,2,1,1,1,5
2019-01-01 01:55:17,0,367,1,3,0,2,3,1.0,3,1,1,1,5
2019-01-01 01:57:28,2,190,0,3,0,0,3,1.0,1,1,1,1,5
2019-01-01 01:57:29,2,190,0,2,0,0,1,0.5,2,1,1,1,5
2019-01-01 01:58:00,2,190,0,3,0,0,3,1.0,3,1,1,1,5
2019-01-01 01:58:54,2,190,0,3,0,0,3,1.0,4,1,1,1,5
2019-01-01 01:59:14,2,190,0,3,0,0,3,1.0,5,1,1,1,5
2019-01-01 02:01:48,1,186,0,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:02:01,1,186,1,3,0,1,3,1.0,2,1,1,2,5
2019-01-01 02:03:39,1,121,0,1,1,1,5,2.0,1,1,1,2,5
2019-01-01 02:03:52,1,121,0,3,1,1,3,1.0,2,1,1,2,5
2019-01-01 02:04:19,1,121,1,3,1,1,3,1.0,3,1,1,2,5
2019-01-01 02:06:48,1,274,1,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:08:53,1,264,0,2,1,1,1,0.5,1,1,1,2,5
2019-01-01 02:10:05,1,132,0,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:10:07,1,132,0,2,0,1,1,0.5,2,1,1,2,5
2019-01-01 02:10:33,1,132,0,1,0,1,5,2.0,3,1,1,2,5
2019-01-01 02:10:49,1,132,0,2,0,1,1,0.5,4,1,1,2,5
2019-01-01 02:11:16,1,132,0,1,0,1,5,2.0,5,1,1,2,5
2019-01-01 02:13:13,1,228,0,2,0,0,1,0.5,1,1,1,2,5
2019-01-01 02:14:18,2,279,0,3,1,1,3,1.0,1,1,1,2,5
2019-01-01 02:14:51,2,279,0,2,1,1,1,0.5,2,1,1,2,5
2019-01-01 02:14:59,2,279,0,3,1,1,3,1.0,3,1,1,2,5
2019-01-01 02:15:16,2,279,1,3,1,1,3,1.0,4,1,1,2,5
2019-01-01 02:16:34,0,104,1,1,0,1,5,2.0,1,1,1,2,5
2019-01-01 02:18:06,2,184,0,2,0,1,1,0.5,1,1,1,2,5
2019-01-01 02:20:08,0,258,0,3,0,0,3,1.0,1,1,1,2,5
2019-01-01 02:24:07,0,209,1,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:25:56,1,260,0,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:25:58,1,260,0,3,0,1,3,1.0,2,1,1,2,5
2019-01-01 02:26:36,1,260,0,3,0,1,3,1.0,3,1,1,2,5
2019-01-01 02:26:40,1,260,0,1,0,1,5,2.0,4,1,1,2,5
2019-01-01 02:28:50,2,383,0,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:30:02,1,109,0,1,0,1,5,2.0,1,1,1,2,5
2019-01-01 02:31:15,0,161,0,2,0,1,1,0.5,1,1,1,2,5
2019-01-01 02:33:00,1,127,0,2,0,1,1,0.5,1,1,1,2,5
2019-01-01 02:33:24,1,127,0,1,0,1,5,2.0,2,1,1,2,5
2019-01-01 02:33:39,1,127,0,1,0,1,5,2.0,3,1,1,2,5
2019-01-01 02:36:48,1,233,1,2,1,2,1,0.5,1,1,1,2,5
2019-01-01 02:38:38,1,129,0,3,1,1,3,1.0,1,1,1,2,5
2019-01-01 02:39:30,1,129,0,0,1,1,10,5.0,2,1,1,2,5
2019-01-01 02:39:31,1,129,0,3,1,1,3,1.0,3,1,1,2,5
2019-01-01 02:40:04,1,129,1,3,1,1,3,1.0,4,1,1,2,5
2019-01-01 02:43:05,1,243,0,2,0,1,1,0.5,1,1,1,2,5
2019-01-01 02:43:06,1,243,0,1,0,1,5,2.0,2,1,1,2,5
2019-01-01 02:43:11,1,243,1,3,0,1,3,1.0,3,1,1,2,5
2019-01-01 02:47:14,2,131,0,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:47:19,2,131,1,3,0,1,3,1.0,2,1,1,2,5
2019-01-01 02:48:32,1,225,0,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:49:50,2,246,0,2,0,0,1,0.5,1,1,1,2,5
2019-01-01 02:55:25,1,126,1,3,1,0,3,1.0,1,1,1,2,5
2019-01-01 02:56:37,1,82,0,3,1,1,3,1.0,1,1,1,2,5
2019-01-01 02:57:03,1,82,0,3,1,1,3,1.0,2,1,1,2,5
2019-01-01 02:57:45,1,82,0,3,1,1,3,1.0,3,1,1,2,5
2019-01-01 02:58:13,1,82,0,3,1,1,3,1.0,4,1,1,2,5
2019-01-01 02:58:32,1,82,1,1,1,1,5,2.0,5,1,1,2,5
2019-01-01 02:59:36,0,329,0,3,0,1,3,1.0,1,1,1,2,5
2019-01-01 02:59:57,0,329,0,1,0,1,5,2.0,2,1,1,2,5
2019-01-01 03:00:27,0,329,1,3,0,1,3,1.0,3,1,1,3,5
2019-01-01 03:02:33,1,335,1,3,0,1,3,1.0,1,1,1,3,5
2019-01-01 03:09:31,1,173,0,3,1,1,3,1.0,1,1,1,3,5
2019-01-01 03:10:10,1,173,1,3,1,1,3,1.0,2,1,1,3,5
2019-01-01 03:13:08,1,222,0,3,0,1,3,1.0,1,1,1,3,5
2019-01-01 03:13:20,1,222,1,3,0,1,3,1.0,2,1,1,3,5
2019-01-01 03:17:18,2,181,0,2,1,1,1,0.5,1,1,1,3,5
2019-01-01 03:18:01,2,181,0,2,1,1,1,0.5,2,1,1,3,5
2019-01-01 03:18:15,2,181,0,3,1,1,3,1.0,3,1,1,3,5
2019-01-01 03:19:14,2,181,1,2,1,1,1,0.5,4,1,1,3,5
2019-01-01 03:22:08,1,85,0,0,1,0,10,5.0,1,1,1,3,5
2019-01-01 03:22:11,1,85,0,3,1,0,3,1.0,2,1,1,3,5
2019-01-01 03:22:19,1,85,0,3,1,0,3,1.0,3,1,1,3,5
2019-01-01 03:23:13,1,85,0,2,1,0,1,0.5,4,1,1,3,5
2019-01-01 03:24:09,1,85,1,3,1,0,3,1.0,5,1,1,3,5
2019-01-01 03:29:48,1,62,0,1,0,1,5,2.0,1,1,1,3,5
2019-01-01 03:29:55,1,62,0,3,0,1,3,1.0,2,1,1,3,5
2019-01-01 03:30:54,1,62,0,3,0,1,3,1.0,3,1,1,3,5
2019-01-01 03:31:51,1,62,0,3,0,1,3,1.0,4,1,1,3,5
2019-01-01 03:31:52,1,62,0,3,0,1,3,1.0,5,1,1,3,5
2019-01-01 03:32:31,1,62,0,3,0,1,3,1.0,6,1,1,3,5
2019-01-01 03:32:58,1,62,0,0,0,1,10,5.0,7,1,1,3,5
2019-01-01 03:35:19,0,291,0,3,0,1,3,1.0,1,1,1,3,5
2019-01-01 03:35:29,0,291,1,3,0,1,3,1.0,2,1,1,3,5
2019-01-01 03:38:02,1,107,1,3,1,1,3,1.0,1,1,1,3,5
2019-01-01 03:42:38,2,78,0,1,0,0,5,2.0,1,1,1,3,5
2019-01-01 03:45:09,1,22,0,3,1,1,3,1.0,1,1,1,3,5
2019-01-01 03:45:52,1,22,0,3,1,1,3,1.0,2,1,1,3,5
2019-01-01 03:46:26,1,22,0,3,1,1,3,1.0,3,1,1,3,5
2019-01-01 03:49:09,2,164,1,1,0,1,5,2.0,1,1,1,3,5
2019-01-01 03:50:52,2,203,0,2,0,1,1,0.5,1,1,1,3,5
2019-01-01 03:51:37,2,203,0,2,0,1,1,0.5,2,1,1,3,5
2019-01-01 03:52:59,1,277,0,3,0,0,3,1.0,1,1,1,3,5
2019-01-01 03:53:27,1,277,0,2,0,0,1,0.5,2,1,1,3,5
2019-01-01 03:53:51,1,277,0,2,0,0,1,0.5,3,1,1,3,5
2019-01-01 03:56:43,1,105,1,2,0,1,1,0.5,1,1,1,3,5
2019-01-01 03:59:51,1,239,0,3,1,2,3,1.0,1,1,1,3,5
2019-01-01 04:00:03,1,239,1,3,1,2,3,1.0,2,1,1,4,5
2019-01-01 04:01:23,0,113,0,1,1,2,5,2.0,1,1,1,4,5
2019-01-01 04:02:01,0,113,1,3,1,2,3,1.0,2,1,1,4,5
2019-01-01 04:03:26,0,379,1,3,0,1,3,1.0,1,1,1,4,5
2019-01-01 04:04:46,0,175,0,3,1,1,3,1.0,1,1,1,4,5
2019-01-01 04:06:29,2,84,0,1,1,1,5,2.0,1,1,1,4,5
2019-01-01 04:10:35,2,268,0,2,1,0,1,0.5,1,1,1,4,5
2019-01-01 04:11:16,2,268,0,3,1,0,3,1.0,2,1,1,4,5
2019-01-01 04:11:24,2,268,1,2,1,0,1,0.5,3,1,1,4,5
2019-01-01 04:12:37,1,129,0,2,0,1,1,0.5,1,1,1,4,5
2019-01-01 04:13:18,1,129,0,2,0,1,1,0.5,2,1,1,4,5
2019-01-01 04:13:25,1,129,0,2,0,1,1,0.5,3,1,1,4,5
2019-01-01 04:13:43,1,129,1,3,0,1,3,1.0,4,1,1,4,5
2019-01-01 04:16:02,0,224,0,0,0,1,10,5.0,1,1,1,4,5
2019-01-01 04:16:10,0,224,0,3,0,1,3,1.0,2,1,1,4,5
2019-01-01 04:17:04,0,224,0,2,0,1,1,0.5,3,1,1,4,5
2019-01-01 04:17:21,0,224,0,3,0,1,3,1.0,4,1,1,4,5
2019-01-01 04:18:01,0,224,0,3,0,1,3,1.0,5,1,1,4,5
2019-01-01 04:18:19,0,224,1,3,0,1,3,1.0,6,1,1,4,5
2019-01-01 04:20:19,1,242,1,3,0,1,3,1.0,1,1,1,4,5
2019-01-01 04:22:20,1,45,0,2,0,1,1,0.5,1,1,1,4,5
2019-01-01 04:22:37,1,45,1,3,0,1,3,1.0,2,1,1,4,5
2019-01-01 04:23:49,1,322,0,3,0,2,3,1.0,1,1,1,4,5
2019-01-01 04:24:42,1,322,0,3,0,2,3,1.0,2,1,1,4,5
2019-01-01 04:25:07,1,322,0,1,0,2,5,2.0,3,1,1,4,5
2019-01-01 04:25:15,1,322,1,3,0,2,3,1.0,4,1,1,4,5
2019-01-01 04:26:17,0,164,0,3,1,1,3,1.0,1,1,1,4,5
2019-01-01 04:26:34,0,164,0,3,1,1,3,1.0,2,1,1,4,5
2019-01-01 04:26:39,0,164,0,3,1,1,3,1.0,3,1,1,4,5
2019-01-01 04:27:10,0,164,0,2,1,1,1,0.5,4,1,1,4,5
2019-01-01 04:27:57,0,164,0,2,1,1,1,0.5,5,1,1,4,5
2019-01-01 04:28:40,0,164,0,2,1,1,1,0.5,6,1,1,4,5
2019-01-01 04:29:29,0,164,0,2,1,1,1,0.5,7,1,1,4,5
2019-01-01 04:31:35,1,158,0,1,0,1,5,2.0,1,1,1,4,5
2019-01-01 04:34:29,1,140,0,1,0,1,5,2.0,1,1,1,4,5
2019-01-01 04:35:48,2,13,0,1,0,0,5,2.0,1,1,1,4,5
2019-01-01 04:35:56,2,13,0,3,0,0,3,1.0,2,1,1,4,5
2019-01-01 04:37:24,1,85,0,3,0,1,3,1.0,1,1,1,4,5
2019-01-01 04:37:29,1,85,0,3,0,1,3,1.0,2,1,1,4,5
2019-01-01 04:38:05,1,85,0,2,0,1,1,0.5,3,1,1,4,5
2019-01-01 04:38:53,1,85,1,2,0,1,1,0.5,4,1,1,4,5
2019-01-01 04:40:02,1,197,0,0,0,1,10,5.0,1,1,1,4,5
2019-01-01 04:41:39,2,215,0,1,0,1,5,2.0,1,1,1,4,5
2019-01-01 04:44:28,1,151,0,3,0,1,3,1.0,1,1,1,4,5
2019-01-01 04:44:40,1,151,0,2,0,1,1,0.5,2,1,1,4,5
2019-01-01 04:45:10,1,151,0,2,0,1,1,0.5,3,1,1,4,5
2019-01-01 04:45:22,1,151,0,1,0,1,5,2.0,4,1,1,4,5
2019-01-01 04:46:10,1,151,0,3,0,1,3,1.0,5,1,1,4,5
2019-01-01 04:47:04,1,151,1,2,0,1,1,0.5,6,1,1,4,5
2019-01-01 04:49:47,1,208,0,3,0,2,3,1.0,1,1,1,4,5
2019-01-01 04:49:52,1,208,0,1,0,2,5,2.0,2,1,1,4,5
2019-01-01 04:49:57,1,208,0,0,0,2,10,5.0,3,1,1,4,5
2019-01-01 04:50:31,1,208,0,3,0,2,3,1.0,4,1,1,4,5
2019-01-01 04:50:57,1,208,0,0,0,2,10,5.0,5,1,1,4,5
2019-01-01 04:52:15,0,221,0,2,0,1,1,0.5,1,1,1,4,5
2019-01-01 04:52:22,0,221,0,3,0,1,3,1.0,2,1,1,4,5
2019-01-01 04:53:10,0,221,0,2,0,1,1,0.5,3,1,1,4,5
2019-01-01 04:53:27,0,221,1,0,0,1,10,5.0,4,1,1,4,5
2019-01-01 04:54:39,1,257,0,0,0,1,10,5.0,1,1,1,4,5
2019-01-01 04:56:48,1,116,0,1,0,2,5,2.0,1,1,1,4,5
2019-01-01 04:59:25,1,209,0,3,1,1,3,1.0,1,1,1,4,5
2019-01-01 05:01:33,0,263,0,1,1,2,5,2.0,1,1,1,5,5
2019-01-01 05:02:30,0,263,0,3,1,2,3,1.0,2,1,1,5,5
2019-01-01 05:02:31,0,263,1,2,1,2,1,0.5,3,1,1,5,5
2019-01-01 05:04:33,1,84,0,2,0,1,1,0.5,1,1,1,5,5
2019-01-01 05:05:39,0,136,1,3,1,1,3,1.0,1,1,1,5,5
2019-01-01 05:06:46,2,211,0,0,0,1,10,5.0,1,1,1,5,5
2019-01-01 05:07:27,2,211,0,3,0,1,3,1.0,2,1,1,5,5
2019-01-01 05:07:37,2,211,1,3,0,1,3,1.0,3,1,1,5,5
2019-01-01 05:10:24,0,232,0,3,0,2,3,1.0,1,1,1,5,5
2019-01-01 05:10:27,0,232,1,2,0,2,1,0.5,2,1,1,5,5
2019-01-01 05:11:39,1,243,1,3,0,1,3,1.0,1,1,1,5,5
2019-01-01 05:14:14,1,180,0,3,0,2,3,1.0,1,1,1,5,5
2019-01-01 05:14:28,1,180,0,3,0,2,3,1.0,2,1,1,5,5
2019-01-01 05:16:31,0,175,0,1,0,2,5,2.0,1,1,1,5,5
2019-01-01 05:17:05,0,175,0,3,0,2,3,1.0,2,1,1,5,5
2019-01-01 05:17:29,0,175,0,1,0,2,5,2.0,3,1,1,5,5
2019-01-01 05:18:00,0,175,1,3,0,2,3,1.0,4,1,1,5,5
2019-01-01 05:20:11,0,125,1,3,0,2,3,1.0,1,1,1,5,5
2019-01-01 05:23:13,1,247,0,1,1,1,5,2.0,1,1,1,5,5
2019-01-01 05:24:09,1,247,0,2,1,1,1,0.5,2,1,1,5,5
2019-01-01 05:24:58,1,247,0,3,1,1,3,1.0,3,1,1,5,5
2019-01-01 05:25:39,1,247,1,3,1,1,3,1.0,4,1,1,5,5
2019-01-01 05:29:46,2,246,0,2,0,1,1,0.5,1,1,1,5,5
2019-01-01 05:32:43,1,117,0,1,0,2,5,2.0,1,1,1,5,5
2019-01-01 05:36:13,1,376,1,3,0,1,3,1.0,1,1,1,5,5
2019-01-01 05:37:21,1,174,1,3,1,1,3,1.0,1,1,1,5,5
2019-01-01 05:39:45,1,162,0,3,0,0,3,1.0,1,1,1,5,5
2019-01-01 05:40:39,1,162,0,3,0,0,3,1.0,2,1,1,5,5
2019-01-01 05:45:37,2,129,0,2,0,0,1,0.5,1,1,1,5,5
2019-01-01 05:46:54,2,215,0,2,0,1,1,0.5,1,1,1,5,5
2019-01-01 05:49:14,1,355,0,3,0,0,3,1.0,1,1,1,5,5
2019-01-01 05:49:56,1,355,1,2,0,0,1,0.5,2,1,1,5,5
2019-01-01 05:52:45,2,135,0,3,0,1,3,1.0,1,1,1,5,5
2019-01-01 05:53:17,2,135,0,3,0,1,3,1.0,2,1,1,5,5
2019-01-01 05:54:07,2,135,0,2,0,1,1,0.5,3,1,1,5,5
2019-01-01 05:54:11,2,135,0,3,0,1,3,1.0,4,1,1,5,5
2019-01-01 05:54:12,2,135,0,3,0,1,3,1.0,5,1,1,5,5
2019-01-01 05:55:44,1,188,0,3,0,0,3,1.0,1,1,1,5,5
2019-01-01 05:55:45,1,188,0,1,0,0,5,2.0,2,1,1,5,5
2019-01-01 05:56:16,1,188,0,3,0,0,3,1.0,3,1,1,5,5
2019-01-01 05:57:01,1,188,0,3,0,0,3,1.0,4,1,1,5,5
2019-01-01 05:57:42,1,188,1,1,0,0,5,2.0,5,1,1,5,5
2019-01-01 06:01:23,2,192,0,1,0,2,5,2.0,1,1,1,6,5
2019-01-01 06:02:51,0,180,0,2,0,0,1,0.5,1,1,1,6,5
2019-01-01 06:03:34,0,180,1,0,0,0,10,5.0,2,1,1,6,5
2019-01-01 06:05:19,2,38,1,1,0,0,5,2.0,1,1,1,6,5
2019-01-01 06:13:00,1,144,0,3,0,1,3,1.0,1,1,1,6,5
2019-01-01 06:16:25,1,23,1,3,0,1,3,1.0,1,1,1,6,5
2019-01-01 06:19:44,0,146,0,2,0,1,1,0.5,1,1,1,6,5
2019-01-01 06:20:03,0,146,0,3,0,1,3,1.0,2,1,1,6,5
2019-01-01 06:20:22,0,146,0,3,0,1,3,1.0,3,1,1,6,5
2019-01-01 06:20:28,0,146,0,0,0,1,10,5.0,4,1,1,6,5
2019-01-01 06:23:25,1,202,0,3,0,0,3,1.0,1,1,1,6,5
2019-01-01 06:27:31,2,211,0,3,0,1,3,1.0,1,1,1,6,5
2019-01-01 06:28:01,2,211,0,3,0,1,3,1.0,2,1,1,6,5
2019-01-01 06:28:51,2,211,0,1,0,1,5,2.0,3,1,1,6,5
2019-01-01 06:29:18,2,211,0,2,0,1,1,0.5,4,1,1,6,5
2019-01-01 06:29:33,2,211,1,1,0,1,5,2.0,5,1,1,6,5
2019-01-01 06:31:50,0,212,1,3,0,1,3,1.0,1,1,1,6,5
2019-01-01 06:33:34,0,273,0,3,1,0,3,1.0,1,1,1,6,5
2019-01-01 06:33:45,0,273,0,3,1,0,3,1.0,2,1,1,6,5
2019-01-01 06:33:48,0,273,0,2,1,0,1,0.5,3,1,1,6,5
2019-01-01 06:33:54,0,273,1,3,1,0,3,1.0,4,1,1,6,5
2019-01-01 06:36:55,2,230,1,3,0,1,3,1.0,1,1,1,6,5
2019-01-01 06:38:36,2,141,0,3,0,1,3,1.0,1,1,1,6,5
2019-01-01 06:39:01,2,141,0,3,0,1,3,1.0,2,1,1,6,5
2019-01-01 06:41:22,1,135,0,2,0,2,1,0.5,1,1,1,6,5
2019-01-01 06:41:33,1,135,0,1,0,2,5,2.0,2,1,1,6,5
2019-01-01 06:42:12,1,135,0,3,0,2,3,1.0,3,1,1,6,5
2019-01-01 06:43:55,2,293,1,3,0,2,3,1.0,1,1,1,6,5
2019-01-01 06:45:47,2,190,0,3,0,1,3,1.0,1,1,1,6,5
2019-01-01 06:46:11,2,190,0,1,0,1,5,2.0,2,1,1,6,5
2019-01-01 06:46:42,2,190,0,3,0,1,3,1.0,3,1,1,6,5
2019-01-01 06:47:26,2,190,0,3,0,1,3,1.0,4,1,1,6,5
2019-01-01 06:48:20,2,190,1,3,0,1,3,1.0,5,1,1,6,5
2019-01-01 06:50:22,2,336,0,3,0,2,3,1.0,1,1,1,6,5
2019-01-01 06:51:14,2,336,1,3,0,2,3,1.0,2,1,1,6,5
